id_0,id_1
1293,4085
1293,5168
1293,9123
1293,9242
1293,15827
1293,75104
1293,80624
1295,1729
1295,3339
1295,6120
1295,79236
1306,5283366
1309,2527
1319,3416
1319,17030
1328,2127
1342,1456
1342,2059
1342,2245
1342,2947
1342,4088
1342,8347
1342,8510
1343,428405
1344,2025
1344,9219
1354,3170
1354,3187
1354,142381
1354,1518490
1379,5367
1384,3545
1384,3614
1388,162248
1406,1910
1406,3283
1406,5142
1406,6819
1406,8568
1406,69925
1408,1627
1408,3187
1408,3771
1408,5848618
1410,6735039
1417,67835
1423,8347
1434,4479
1437,9522
1437,94226
1437,1035779
1439,2851
1439,2947
1439,3293
1439,13896
1439,64932
1439,243284
1440,1454
1440,8741
1445,2707
1445,2947
1446,2709
1446,77974
1446,1518322
1449,2059
1449,76064
1449,1035779
1450,5657
1453,3550
1453,288252
1453,668826
1454,9522
1454,4768753
1456,1478
1456,2697
1456,5648
1456,6707
1456,7004
1456,7304
1456,8855
1456,71813
1456,712271
1458,8675
1458,9219
1458,65759
1458,6557769
1459,1935
1461,8844
1464,7327640
1465,7218
1465,77770
1465,5179221
1477,1801
1477,2076
1477,4509
1477,6802
1477,318673
1478,11963
1478,249599
1478,4606399
1495,3198
1495,4215
1495,6263
1495,6309
1495,247319
1497,167362
1501,1608
1501,174351
1509,2947
1509,3545
1509,74311
1509,265084
1516,1536
1525,5838
1525,7974
1525,242817
1529,3251
1529,13314683
1536,2245
1536,2301
1536,3170
1536,6005
1536,6144
1536,7128
1536,9183
1536,10597
1536,56797
1536,58960
1536,58962
1536,69542
1536,69886
1536,70019
1536,84873
1536,152366
1536,439641
1538,7402526
1554,6263
1554,281509
1554,5623138
1557,17224
1557,14916267
1559,193878
1560,1626
1578,67835
1581,2851
1581,5679
1581,10817
1581,96491
1581,166763
1606,4334
1606,7144
1606,12038
1606,13523
1606,64998
1606,124423
1606,188053
1606,423066
1606,461124
1606,1232997
1606,1233002
1606,1429841
1606,4688569
1606,4855945
1608,77865
1622,167918
1624,10183
1626,5623138
1627,3251
1627,9183
1627,281496
1639,2245
1639,2337
1639,4080
1639,4088
1650,120313
1650,8354140
1652,1626113
1654,1035779
1719,74398
1719,292185
1719,12133088
1743,9183
1744,311820
1744,525643
1744,808980
1744,76053262
1755,3265001
1757,11837
1765,11971
1765,281509
1765,352336
1765,7459268
1765,12422192
1765,49569672
1782,5196
1782,6263
1782,247319
1782,1204125
1798,1191615
1801,2425
1801,308304
1802,4983
1803,6032634
1825,7204
1846,12294
1846,13760
1846,15888
1846,100810
1846,103369
1846,133863
1846,150446
1846,167918
1846,262271
1846,282118
1846,311820
1846,365664
1846,367387
1846,469671
1846,490454
1846,525643
1846,666244
1846,788504
1846,1462230
1846,1611773
1846,1658572
1846,2110321
1846,4333887
1846,4459894
1846,4794264
1846,5078097
1846,6699381
1846,7188840
1846,7260670
1846,7627172
1846,10668131
1846,10799102
1846,11136812
1846,11167720
1846,11934257
1846,15166511
1846,49818632
1846,51720482
1846,123053672
1861,1465570
1865,3416
1865,8547
1865,10336
1866,3445
1866,5002
1866,8642
1866,13896
1892,2705
1893,2077
1893,4720
1893,4782876
1893,10052642
1902,9053
1902,246423
1910,2060
1910,2449
1910,2692
1910,3458
1910,4029
1910,5142
1910,5622
1910,5853
1910,8347
1910,9242
1910,57504
1910,58960
1935,2301
1935,2791
1935,2816
1935,3170
1935,3201
1935,3855
1935,5657
1935,6005
1935,9183
1935,9219
1935,13639
1935,74398
1935,75491
1935,76863
1935,84873
1935,96756
1935,152366
1935,343290
1935,384236
1935,805948
1935,1234785
1935,1352097
1935,1511979
1935,1616371
1935,3779331
1935,3830821
1935,4338602
1935,4674484
1935,4999707
1935,5130634
1935,5171069
1935,5265504
1935,9549148
1935,9635624
1935,12029862
1935,13594287
1935,13631667
1935,13817211
1935,126335112
1956,97123
1956,461402
1956,3618691
1956,5355950
1968,3458
1968,4085
1968,80624
2003,10817
2016,74398
2016,292185
2016,12133088
2025,2047
2025,4088
2025,8741
2025,10041
2046,167918
2046,209267
2046,306898
2046,1054948
2046,3972081
2046,5306539
2046,5462679
2046,56094992
2047,10620
2047,15002
2047,106574
2047,210977
2047,372244
2048,4185
2048,150446
2056,4073450
2059,2337
2059,2393
2059,2833
2059,2947
2059,3280
2059,4029
2059,4192
2059,4237
2059,5377
2059,6009
2059,6859
2059,9999
2059,378313
2060,2108
2060,3458
2060,4088
2060,5136
2060,5622
2060,8347
2060,75104
2062,3187
2077,3543
2077,4720
2077,4917
2077,5168
2077,12038
2077,12449
2077,12718
2077,13523
2077,13682
2077,15588
2077,65623
2077,95506
2077,152120
2077,183051
2077,195222
2077,446167
2077,1385868
2077,1429841
2077,4108232
2077,6705395
2077,135512622
2104,156724
2105,5679
2108,11799
2108,97123
2108,277491
2108,372244
2110,5229
2111,94226
2162,2730
2162,2938
2162,9117
2167,77974
2167,378313
2179,94226
2179,310557
2210,4781
2211,9916
2216,2219
2216,6067
2216,9267
2236,6263
2245,2301
2245,2393
